name,ticker,market,sector
Madmind Studio SA,MMS,NEWCONNECT,Technology services
Mennica Polska S.A.,MNC,GPW,Producer manufacturing
MINERAL MIDRANGE S.A.,MND,NEWCONNECT,Technology services
Mennica Skarbowa SA,MNS,NEWCONNECT,Retail trade
Moliera2 Spolka Akcyjna,MO2,NEWCONNECT,Commercial services
Molecure SA,MOC,GPW,Health technology
MOJ S.A.,MOJ,GPW,Producer manufacturing
MONNARI TRADE S.A.,MON,GPW,Retail trade
Movie Games SA,MOV,GPW,Technology services
MegaPixel Studio S.A.,MPS,NEWCONNECT,Technology services
mPay SA,MPY,NEWCONNECT,Commercial services
Mirbud S.A.,MRB,GPW,Industrial services
Mercator Medical SA,MRC,GPW,Distribution services
MEDARD Spolka Akcyjna,MRD,NEWCONNECT,Commercial services
MERLIN GROUP Spolka Akcyjna,MRG,NEWCONNECT,Commercial services
Mr Hamburger SA,MRH,NEWCONNECT,Consumer services
Marka SA,MRK,NEWCONNECT,Finance
Massmedica S.A.,MSM,NEWCONNECT,Distribution services
Mostostal Plock S.A.,MSP,GPW,Industrial services
Mostostal Warszawa S.A.,MSW,GPW,Industrial services
Mostostal Zabrze SA,MSZ,GPW,Industrial services
MINUTOR Energia SA,MTE,NEWCONNECT,Commercial services
MILTON ESSEX S.A.,MTN,NEWCONNECT,Health technology
Munar SA,MUN,NEWCONNECT,Technology services
Murapol S.A.,MUR,GPW,Finance
Marvipol Development SA,MVP,GPW,Consumer durables
M.W. Trade Spolke Akcyjna,MWT,GPW,Finance
MaxCom SA,MXC,GPW,Electronic technology
MaxiPizza S.A.,MXP,NEWCONNECT,Consumer services
Muza SA,MZA,GPW,Consumer services
Noctiluca Spolka Akcyjna,NCL,GPW,Process industries
NEUCA S.A.,NEU,GPW,Distribution services
NanoGroup SA,NNG,GPW,Health technology
Noobz from Poland S.A.,NOB,NEWCONNECT,Technology services
Novina Spolka Akcyjna,NOV,NEWCONNECT,Finance
Neurone Studio SA,NRS,NEWCONNECT,Technology services
Nestmedic SA,NST,NEWCONNECT,Technology services
New Tech Capital SA,NTC,GPW,Commercial services
Notoria Serwis S.A.,NTS,NEWCONNECT,Finance
NTT System S.A.,NTT,GPW,Electronic technology
New Tech Venture S.A.,NTV,NEWCONNECT,Finance
P.A. NOVA Spolka Akcyjna,NVA,GPW,Industrial services
Novavis Group S.A.,NVG,GPW,Industrial services
NOVITA S.A.,NVT,GPW,Process industries
NWAI Dom Maklerski S.A.,NWA,NEWCONNECT,Finance
Newag SA,NWG,GPW,Producer manufacturing
Nexity Global SA,NXG,GPW,Finance
ONE2TRIBE S.A.,O2T,NEWCONNECT,Technology services
Orzel Bialy S.A.,OBL,GPW,Non-energy minerals
ODLEWNIE POLSKIE S.A.,ODL,GPW,Producer manufacturing
OLYMP Spolka Akcyjna,OLY,NEWCONNECT,Consumer durables
One More Level SA,OML,NEWCONNECT,Technology services
ONICO S.A.,ONC,NEWCONNECT,Distribution services
ONDE SA,OND,GPW,Industrial services
One Solution S.A.,ONE,NEWCONNECT,Commercial services
onesano S.A.,ONO,GPW,Process industries
CPI FIM S.A.,OPG,GPW,Finance
Optigis S.A.,OPI,NEWCONNECT,Technology services
Orange Polska S.A.,OPL,GPW,Communications
OPTeam S.A.,OPM,GPW,Technology services
Oponeo.pl S.A.,OPN,GPW,Retail trade
Organic Farma Zdrowia S.A.,ORG,NEWCONNECT,Retail trade
ORZEL S.A,ORL,NEWCONNECT,Consumer durables
Zaklady Przemyslu Cukierniczego Otmuchow S.A.,OTM,GPW,Consumer non-durables
OT Logistics S.A.,OTS,GPW,Transportation
Outdoorzy S.A.,OUT,NEWCONNECT,Retail trade
Ovid Works SA Class A,OVI,NEWCONNECT,Technology services
Oxygen S.A.,OXY,NEWCONNECT,Technology services
